2944
([1,9,7,5,11,13,15,14,12,10,3,8,6,4,2,1],[],59)
([1,9,7,5,11,13,15,14,12,10,3,8,6,4,2,1],[],59)
([1,9,7,5,11,13,15,14,12,10,3,8,6,4,2,1],[],59)
([1,9,7,5,11,13,15,14,12,10,3,8,6,4,2,1],[],59)
([1,3,10,12,14,15,13,11,5,7,9,8,6,4,2,1],[],55)
([1,3,10,12,14,15,13,11,5,7,9,8,6,4,2,1],[],55)
([1,3,10,12,14,15,13,11,5,7,9,8,6,4,2,1],[],55)
([1,9,7,5,11,13,15,14,12,10,3,8,6,4,2,1],[],59)
([1,9,7,5,11,13,15,14,12,10,3,8,6,4,2,1],[],59)
([1,9,7,5,11,13,15,14,12,10,3,8,6,4,2,1],[],59)
([1,9,7,5,11,13,15,14,12,10,3,8,6,4,2,1],[],59)
([1,3,10,12,14,15,13,11,5,7,9,8,6,4,2,1],[],55)
([1,3,10,12,14,15,13,11,5,7,9,8,6,4,2,1],[],55)
([1,3,10,12,14,15,13,11,5,7,9,8,6,4,2,1],[],55)
([1,11,5,7,9,8,3,10,12,14,15,13,6,4,2,1],[],60)
([1,11,5,7,9,8,3,10,12,14,15,13,6,4,2,1],[],60)
([1,11,5,7,9,8,3,10,12,14,15,13,6,4,2,1],[],60)
([1,11,5,7,9,8,3,10,12,14,15,13,6,4,2,1],[],60)
([1,11,5,7,9,8,3,10,12,14,15,13,6,4,2,1],[],60)
([1,11,5,7,9,8,3,10,12,14,15,13,6,4,2,1],[],60)
([1,11,5,7,9,8,3,10,12,14,15,13,6,4,2,1],[],60)
([1,11,5,7,9,8,3,10,12,14,15,13,6,4,2,1],[],60)
([1,9,7,5,11,13,15,14,12,10,3,8,6,4,2,1],[],59)
([1,9,7,5,11,13,15,14,12,10,3,8,6,4,2,1],[],59)
([1,9,7,5,11,13,15,14,12,10,3,8,6,4,2,1],[],59)
([1,9,7,5,11,13,15,14,12,10,3,8,6,4,2,1],[],59)
([1,3,10,12,14,15,13,11,5,7,9,8,6,4,2,1],[],55)
([1,3,10,12,14,15,13,11,5,7,9,8,6,4,2,1],[],55)
([1,3,10,12,14,15,13,11,5,7,9,8,6,4,2,1],[],55)
([1,9,7,5,11,13,15,14,12,10,3,8,6,4,2,1],[],59)
([1,9,7,5,11,13,15,14,12,10,3,8,6,4,2,1],[],59)
([1,9,7,5,11,13,15,14,12,10,3,8,6,4,2,1],[],59)
([1,9,7,5,11,13,15,14,12,10,3,8,6,4,2,1],[],59)
([1,3,10,12,14,15,13,11,5,7,9,8,6,4,2,1],[],55)
([1,3,10,12,14,15,13,11,5,7,9,8,6,4,2,1],[],55)
([1,3,10,12,14,15,13,11,5,7,9,8,6,4,2,1],[],55)
